code_commune;zone_densite
02134;urbain
02135;rural
02136;rural
02137;rural
02138;rural
02139;rural
02140;rural
02141;rural
02142;rural
02143;rural
02144;rural
02145;rural
02146;rural
02148;rural
02149;rural
02150;rural
02151;rural
02152;rural
02153;rural
02154;rural
02155;rural
02156;rural
02157;urbain
02158;rural
02159;rural
02160;rural
02162;rural
02163;urbain
02164;rural
02165;urbain
02166;rural
02167;rural
02168;urbain
02169;rural
02170;rural
02171;rural
02172;rural
02173;urbain
02174;rural
02175;rural
02176;rural
02177;rural
02178;rural
02179;rural
02180;rural
02181;rural
02182;rural
02183;rural
02184;rural
02185;rural
02186;rural
02187;urbain
02188;rural
02189;rural
02190;rural
02191;rural
02192;rural
02193;rural
02194;rural
02195;rural
02196;rural
02197;rural
02198;rural
02199;rural
02200;rural
02201;rural
02203;rural
02204;rural
02205;rural
02206;rural
02207;rural
02208;rural
02209;rural
02210;rural
02211;rural
02212;urbain
02213;rural
02214;rural
02215;rural
02216;rural
02217;rural
02218;rural
02219;rural
02220;rural
02221;rural
02222;rural
02223;rural
02224;rural
02225;rural
02226;urbain
02227;rural
02228;rural
02229;rural
02230;rural
02231;rural
02232;rural
02233;rural
02234;rural
02235;rural
02236;rural
02237;rural
02238;rural
02239;rural
02240;rural
02241;rural
02242;rural
02243;urbain
02244;rural
02245;urbain
02246;rural
02248;rural
02249;rural
02250;rural
02251;rural
02252;rural
02253;rural
02254;rural
02255;rural
02256;rural
02257;rural
02258;rural
02259;rural
02260;urbain
02261;rural
02262;rural
02263;rural
02264;rural
02265;rural
02266;rural
02267;rural
02268;rural
02269;rural
02270;rural
02271;rural
02272;rural
02273;rural
02274;rural
02275;rural
02276;rural
02277;rural
02278;rural
02279;rural
02280;rural
02281;rural
02282;rural
02283;rural
02284;rural
02286;rural
02287;rural
02288;rural
02289;rural
02290;urbain
02291;rural
02292;urbain
02293;rural
02294;rural
02295;rural
02296;rural
02297;rural
02298;rural
02299;rural
02302;rural
02303;urbain
02304;urbain
02305;rural
02306;rural
02307;rural
02308;rural
02309;rural
02310;rural
02312;rural
02313;rural
02315;rural
02316;rural
02317;rural
02318;rural
02319;rural
02320;rural
02321;rural
02322;rural
02323;rural
02324;rural
02326;rural
02327;rural
02328;rural
02329;rural
02330;rural
02331;rural
02332;rural
02333;rural
02334;rural
02335;rural
02336;rural
02337;rural
02338;rural
02339;rural
02340;urbain
02341;rural
02342;rural
02343;rural
02345;rural
02346;rural
02347;rural
02349;rural
02350;rural
02351;rural
02352;rural
02353;rural
02354;rural
02355;rural
02356;rural
02357;rural
02358;rural
02359;urbain
02360;rural
02361;rural
02362;rural
02363;rural
02364;rural
02366;rural
02367;rural
02368;rural
02369;rural
02370;rural
02371;urbain
02372;rural
02373;rural
02374;rural
02375;rural
02376;rural
02377;rural
02378;rural
02379;rural
02380;rural
02381;urbain
02382;rural
02383;rural
02384;rural
02385;rural
02386;rural
02387;rural
02388;rural
02389;rural
02390;rural
02391;rural
02392;rural
02393;rural
02395;rural
02396;rural
02397;rural
02398;rural
02399;rural
02400;rural
02401;rural
02402;rural
02403;rural
02404;rural
02405;rural
02406;rural
02407;rural
02408;urbain
02409;rural
02410;rural
02411;rural
02412;rural
02413;rural
02414;rural
02415;rural
02416;rural
02417;rural
02418;rural
02419;rural
02420;rural
02421;rural
02422;rural
02423;rural
02424;rural
02425;rural
02426;rural
02427;rural
02428;rural
02429;rural
02430;rural
02431;rural
02432;rural
02433;rural
02435;rural
02438;rural
02439;rural
02440;rural
02441;rural
02442;rural
02443;rural
02444;rural
02445;rural
02446;rural
02447;rural
02448;rural
02449;rural
02450;rural
02451;rural
02452;rural
02453;rural
02454;rural
02455;rural
02456;rural
02457;rural
02458;rural
02459;rural
02460;rural
02461;rural
02462;rural
02463;rural
02464;rural
02465;rural
02466;rural
02467;rural
02468;rural
02469;rural
02470;rural
02471;rural
02472;rural
02473;rural
02474;rural
02476;rural
02477;rural
02478;rural
02480;rural
02481;rural
02482;rural
02483;rural
02484;rural
02485;rural
02486;rural
02487;rural
02488;rural
02489;rural
02490;rural
02491;rural
02492;rural
02493;rural
02494;rural
02495;rural
02496;rural
02497;rural
02498;rural
02499;rural
02500;rural
02501;rural
02502;rural
02503;rural
02504;rural
02505;rural
02506;rural
02507;rural
02508;rural
02509;rural
02510;rural
02511;rural
02512;rural
02513;rural
02514;rural
02515;rural
02516;rural
02517;rural
02518;rural
02519;rural
02520;rural
02521;rural
02522;rural
02523;rural
02524;rural
02525;urbain
02526;rural
02527;rural
02528;rural
02529;rural
02530;rural
02531;rural
02532;rural
02533;rural
02534;rural
02535;rural
02536;rural
02537;rural
02538;rural
02539;rural
02540;urbain
02541;rural
02542;rural
02543;rural
02544;rural
02545;rural
02546;rural
02547;rural
02548;rural
02549;rural
02550;rural
02551;rural
02552;rural
02553;rural
02554;urbain
02555;urbain
02556;rural
02557;rural
02558;rural
02559;rural
02560;rural
02561;rural
02562;rural
02563;rural
02564;rural
02565;rural
02566;urbain
02567;rural
02568;rural
02569;rural
02570;rural
02571;urbain
02572;rural
02573;rural
02574;rural
02575;rural
02576;rural
02577;rural
02578;rural
02579;rural
02580;rural
02581;rural
02582;rural
02583;rural
02584;rural
02585;rural
02586;rural
02587;rural
02588;rural
02589;rural
02590;rural
02591;rural
02592;rural
02593;rural
02594;rural
02595;rural
02596;rural
02598;rural
02599;rural
02600;rural
02601;rural
02602;rural
02604;rural
02605;rural
02606;rural
02607;rural
02608;rural
02609;rural
02610;urbain
02612;rural
02613;rural
02614;rural
02615;rural
02616;rural
02617;rural
02618;rural
02619;rural
02620;rural
02621;rural
02622;rural
02623;rural
02624;rural
02625;rural
02626;rural
02627;rural
02628;rural
02629;rural
02631;rural
02632;rural
02633;rural
02634;rural
02635;rural
02636;rural
02637;rural
02638;rural
02639;rural
02640;rural
02641;rural
02642;rural
02643;rural
02644;rural
02645;rural
02647;rural
02648;rural
02649;rural
02650;rural
02651;rural
02652;rural
02653;urbain
02654;rural
02655;rural
02656;rural
02657;rural
02658;rural
02659;urbain
02660;rural
02661;rural
02662;rural
02663;rural
02664;rural
02665;rural
02666;rural
02667;rural
02668;rural
02670;rural
02671;rural
02672;rural
02673;rural
02674;rural
02675;rural
02676;rural
02677;rural
02678;rural
02679;rural
02680;rural
02681;rural
02682;rural
02683;rural
02684;rural
02685;rural
02686;rural
02687;rural
02688;rural
02689;rural
02690;rural
02691;urbain
02693;rural
02694;rural
02696;rural
02697;rural
02698;rural
02699;rural
02701;urbain
02702;rural
02703;rural
02704;rural
02705;rural
02706;rural
02707;rural
02708;rural
02709;rural
02710;rural
02711;rural
02712;rural
02713;rural
02714;rural
02715;rural
02716;rural
02717;rural
02718;rural
02719;rural
02720;rural
02721;rural
02722;urbain
02723;rural
02724;rural
02725;rural
02726;rural
02727;rural
02728;rural
02729;rural
02730;rural
02731;rural
02732;rural
02734;rural
02735;rural
02736;rural
02737;rural
02738;urbain
02739;rural
02740;rural
02741;rural
02742;rural
02743;rural
02744;rural
02745;rural
02746;rural
02747;rural
02748;rural
02749;rural
02750;rural
02751;rural
02752;rural
02753;rural
02754;rural
02755;rural
02756;rural
02757;rural
02758;rural
02759;rural
02760;rural
02761;rural
02762;rural
02763;rural
02764;rural
02765;rural
02766;rural
02767;rural
02768;rural
02769;rural
02770;urbain
02772;rural
02773;rural
02774;rural
02775;rural
02776;rural
02777;rural
02778;rural
02779;rural
02780;rural
02781;rural
02782;rural
02783;rural
02784;rural
02785;rural
02786;rural
02787;rural
02788;rural
02789;rural
02790;rural
02791;rural
02792;rural
02793;rural
02794;rural
02795;rural
02796;rural
02797;rural
02798;rural
02799;rural
02800;rural
02801;rural
02802;rural
02803;rural
02804;rural
02805;urbain
02806;rural
02807;rural
02808;rural
02809;rural
02810;urbain
02812;rural
02813;rural
02814;rural
02815;rural
02816;rural
02817;rural
02818;urbain
02819;rural
02820;urbain
02821;rural
02822;rural
02823;rural
02824;rural
02826;rural
02827;rural
02828;rural
02829;rural
02830;rural
02831;rural
02832;rural
02833;rural
02834;rural
03001;urbain
03002;rural
03003;rural
03004;rural
03005;rural
03006;rural
03007;rural
03008;rural
03009;rural
03010;rural
03011;rural
03012;rural
03013;urbain
03014;rural
03015;rural
03016;rural
03017;rural
03018;rural
03019;rural
03020;rural
03021;rural
03022;rural
03023;urbain
03024;rural
03025;rural
03026;rural
03027;rural
03028;rural
03029;rural
03030;rural
03031;rural
03032;rural
03033;rural
03034;rural
03035;rural
03036;rural
03037;rural
03038;rural
03039;rural
03040;rural
03041;rural
03042;rural
03043;rural
